year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.2989378687304385,0.3805426358925379,matern,0.3,True
50,0.35170588686974363,0.32208792274661596,matern,0.3,True
100,0.38716459414084464,0.30301757619380437,matern,0.3,True
150,0.3789846387381368,0.30628803844957225,matern,0.3,True
200,0.324412900426957,0.30598019546633576,matern,0.3,True
250,0.23515915833199527,0.2999037586556704,matern,0.3,True
300,0.13863541228708084,0.2999786869716171,matern,0.3,True
350,0.06676528026430045,0.2974271294121078,matern,0.3,True
400,0.026364665910148466,0.28366588163219114,matern,0.3,True
450,0.025055209335889894,0.2816956059320705,matern,0.3,True
500,0.07098913737716978,0.30916857806600884,matern,0.3,True
550,0.15612306113014238,0.3359746743361052,matern,0.3,True
600,0.25351317267419543,0.3402697693099078,matern,0.3,True
650,0.3305443566294633,0.32394409444951294,matern,0.3,True
700,0.3609713487974909,0.30241554464916504,matern,0.3,True
750,0.3364060446367753,0.29897949555485054,matern,0.3,True
800,0.2742334025346741,0.3133199516649146,matern,0.3,True
850,0.22375656914292347,0.3256629171519235,matern,0.3,True
900,0.2288642881254097,0.3312537068799806,matern,0.3,True
950,0.3059171372322231,0.3338649616368227,matern,0.3,True
1000,0.4459411994234477,0.3452114956657546,matern,0.3,True
1050,0.6655586809828792,0.35586153527324405,matern,0.3,True
1100,0.9517099051169253,0.3568081940597218,matern,0.3,True
1150,1.245672598721577,0.34772986615727475,matern,0.3,True
1200,1.4813664219324254,0.33886299236281664,matern,0.3,True
1250,1.6370955284817195,0.32644559289656216,matern,0.3,True
1300,1.6995325235729744,0.2997438880908906,matern,0.3,True
1350,1.6294245362633095,0.25520117621501964,matern,0.3,True
1400,1.3518667983728583,0.21451339956850032,matern,0.3,True
1450,0.8685396214077808,0.20428752315366192,matern,0.3,True
1500,0.4362721368540532,0.2171216878433866,matern,0.3,True
1550,0.15828766073189468,0.2606126161579207,matern,0.3,True
1600,-0.04064701985986402,0.29538088766093923,matern,0.3,True
1650,-0.2113560004395807,0.30794439585384814,matern,0.3,True
1700,-0.35157600821250545,0.3111169683225289,matern,0.3,True
1750,-0.4522243633096932,0.3100508549928442,matern,0.3,True
1800,-0.5113304127309882,0.3079444491590962,matern,0.3,True
1850,-0.5323792403554469,0.3106424324196208,matern,0.3,True
1900,-0.5160805606205521,0.32533074416430297,matern,0.3,True
1950,-0.4648636389837195,0.36729844048991395,matern,0.3,True
