year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.26172531491280776,0.36797165996178266,matern,0.5,False
50,0.3527084538763356,0.299021101071886,matern,0.5,False
100,0.42203188623033794,0.28722376070837957,matern,0.5,False
150,0.42551841251163464,0.3052379282047841,matern,0.5,False
200,0.3621411446238209,0.30380004963402335,matern,0.5,False
250,0.24802864605030261,0.28662488640634864,matern,0.5,False
300,0.1275153074897746,0.2937933655713237,matern,0.5,False
350,0.05281472910400031,0.298813718072428,matern,0.5,False
400,0.011510764700076337,0.26803906305191544,matern,0.5,False
450,0.004915430751051941,0.2531947253038088,matern,0.5,False
500,0.054020635222324975,0.307229469871754,matern,0.5,False
550,0.16007325336223108,0.3540699568316021,matern,0.5,False
600,0.2863638547741832,0.3569704449703674,matern,0.5,False
650,0.3850457314888938,0.3263346904712332,matern,0.5,False
700,0.4181146292928839,0.2852675237270157,matern,0.5,False
750,0.37411103365170784,0.2817535177463938,matern,0.5,False
800,0.26891914097181807,0.31166038923368644,matern,0.5,False
850,0.17971894017629725,0.328303317654775,matern,0.5,False
900,0.1689455492793359,0.33083275043238636,matern,0.5,False
950,0.24078140977935147,0.3246783402980877,matern,0.5,False
1000,0.34774849057758683,0.3449263838768482,matern,0.5,False
1050,0.5552679882745971,0.3643693079855855,matern,0.5,False
1100,0.8735901726552535,0.364898692064315,matern,0.5,False
1150,1.2091057443979212,0.34598002376836673,matern,0.5,False
1200,1.451662090963438,0.33887571644136,matern,0.5,False
1250,1.6159352733355223,0.33417239728967263,matern,0.5,False
1300,1.7327905691548189,0.30623584650449687,matern,0.5,False
1350,1.7513562714263688,0.23496223986376152,matern,0.5,False
1400,1.4747616561708659,0.15831701198542772,matern,0.5,False
1450,0.8115196759843148,0.15090013204928937,matern,0.5,False
1500,0.3403473959928675,0.16022266738248087,matern,0.5,False
1550,0.14315279304357678,0.2469850249851009,matern,0.5,False
1600,0.005473425487217631,0.3008031238299264,matern,0.5,False
1650,-0.1611473181071713,0.30647748205443776,matern,0.5,False
1700,-0.31615283787407333,0.3071050606160335,matern,0.5,False
1750,-0.42695031782010096,0.3049572115378763,matern,0.5,False
1800,-0.4886755764428209,0.3002797460683643,matern,0.5,False
1850,-0.5091070046934312,0.30153474836219973,matern,0.5,False
1900,-0.4827305433421135,0.30929214331295135,matern,0.5,False
1950,-0.4015462998402318,0.34660830487784794,matern,0.5,False
