year_bp,y_pred,y_std,kernel,length_scale,fixed
0,0.34230806279059295,0.39845816437969256,rq,0.3,True
50,0.354334833579093,0.35276402422283265,rq,0.3,True
100,0.3497482368879747,0.32826437901943545,rq,0.3,True
150,0.3233112830773311,0.3195538599924398,rq,0.3,True
200,0.2752717898120697,0.3177525546407468,rq,0.3,True
250,0.21258641175393167,0.31648542452128303,rq,0.3,True
300,0.14773072710082663,0.3135778245754433,rq,0.3,True
350,0.09536481552122741,0.31012002279182127,rq,0.3,True
400,0.06796557147461657,0.3090818390542773,rq,0.3,True
450,0.07184266258961691,0.3129902105688116,rq,0.3,True
500,0.10481888196510789,0.32103325926470644,rq,0.3,True
550,0.15646998956972819,0.3288231120450994,rq,0.3,True
600,0.21119895798587532,0.33191226527207385,rq,0.3,True
650,0.25352569800028146,0.32951480397107946,rq,0.3,True
700,0.27401020096926676,0.32502696202589276,rq,0.3,True
750,0.2736669434876321,0.32307450642531826,rq,0.3,True
800,0.2650143600194703,0.3257793836508189,rq,0.3,True
850,0.26908461413094326,0.33190646206667523,rq,0.3,True
900,0.30927873558907554,0.33911484790767693,rq,0.3,True
950,0.40406453628970374,0.3459303098068901,rq,0.3,True
1000,0.5606802440113594,0.35161422499974876,rq,0.3,True
1050,0.7714359736554557,0.3552342822124045,rq,0.3,True
1100,1.0134345208338251,0.3554949603004562,rq,0.3,True
1150,1.2518102638946773,0.3511673153714739,rq,0.3,True
1200,1.4459072995068558,0.3413083989234978,rq,0.3,True
1250,1.5573232245974475,0.3254516735734976,rq,0.3,True
1300,1.558508872065212,0.30448673169497625,rq,0.3,True
1350,1.4402344212489766,0.28196893723252536,rq,0.3,True
1400,1.2154576332433886,0.26434075087890696,rq,0.3,True
1450,0.9169879481206592,0.2583129668311987,rq,0.3,True
1500,0.5884355901104747,0.265924704403809,rq,0.3,True
1550,0.27180878656093477,0.2824618074704946,rq,0.3,True
1600,-0.0024968179849853556,0.30025797252900627,rq,0.3,True
1650,-0.21929492631463232,0.31355934945559316,rq,0.3,True
1700,-0.37610907418115336,0.32044906050769156,rq,0.3,True
1750,-0.4779656552912537,0.32243502216516257,rq,0.3,True
1800,-0.532792988871233,0.3236481521484579,rq,0.3,True
1850,-0.5488294933138105,0.3306284359933151,rq,0.3,True
1900,-0.5337762557562599,0.3513787096780183,rq,0.3,True
1950,-0.4948189460088831,0.3916135688321882,rq,0.3,True
