year_bp,y_pred,y_std,composite,removed
0,0.33713267895200594,0.4205084511756167,mean,all_proxies
50,0.33669460074686575,0.3704488527024004,mean,all_proxies
100,0.3265571697476273,0.34270440995336465,mean,all_proxies
150,0.3008359772203334,0.33109705855813776,mean,all_proxies
200,0.2597409701121993,0.32666280921155927,mean,all_proxies
250,0.20813534193420072,0.32434457779864495,mean,all_proxies
300,0.15516678331738898,0.32297050629236596,mean,all_proxies
350,0.11156433733147803,0.3215547898688593,mean,all_proxies
400,0.08359903743710417,0.3203596129652984,mean,all_proxies
450,0.0760962112723364,0.3225083504732085,mean,all_proxies
500,0.09090243999064698,0.32907862926822345,mean,all_proxies
550,0.12398095028563375,0.33549744198217923,mean,all_proxies
600,0.1668261826693964,0.33769695148959966,mean,all_proxies
650,0.21000261314831864,0.335492329431428,mean,all_proxies
700,0.24658285065857,0.3319421459243223,mean,all_proxies
750,0.27556995045845367,0.33127872509333517,mean,all_proxies
800,0.30480720023519403,0.33448679566109096,mean,all_proxies
850,0.34988363798056865,0.3392955136043575,mean,all_proxies
900,0.42501754840372935,0.344199384524844,mean,all_proxies
950,0.5368686179603176,0.34874248850874934,mean,all_proxies
1000,0.6834819447269613,0.353313071396785,mean,all_proxies
1050,0.8590129648544924,0.35620848470643013,mean,all_proxies
1100,1.0476770020548773,0.35565750145461056,mean,all_proxies
1150,1.223173979302244,0.3509636564839553,mean,all_proxies
1200,1.3574595859224057,0.3427762322235664,mean,all_proxies
1250,1.4313284864728006,0.330793884626441,mean,all_proxies
1300,1.4312768579958817,0.3147869764341799,mean,all_proxies
1350,1.3458438598559506,0.29669330053805204,mean,all_proxies
1400,1.1663344723333906,0.2821203821044143,mean,all_proxies
1450,0.9074547496327445,0.27725301062246716,mean,all_proxies
1500,0.6275826188835033,0.2834538646061863,mean,all_proxies
1550,0.36755255156277733,0.2975227864654953,mean,all_proxies
1600,0.131521812775782,0.3115696333031893,mean,all_proxies
1650,-0.07825613345156396,0.3212388038301642,mean,all_proxies
1700,-0.25508783794561474,0.32670340205558385,mean,all_proxies
1750,-0.395658977978289,0.329726875688341,mean,all_proxies
1800,-0.5012742235820177,0.33374265454899815,mean,all_proxies
1850,-0.576676561145211,0.3442936096861157,mean,all_proxies
1900,-0.627737636843834,0.36830462135740555,mean,all_proxies
1950,-0.6607354525097586,0.41219312636585814,mean,all_proxies
