year_bp,y_pred,y_std,composite,removed
0,0.47424022866290394,0.5177296875767509,mean,without_PC1_Pallcacocha
50,0.44569885679748006,0.3766595918680687,mean,without_PC1_Pallcacocha
100,0.37457370147699015,0.3292765864093081,mean,without_PC1_Pallcacocha
150,0.25058864203460257,0.31168658030397717,mean,without_PC1_Pallcacocha
200,0.08708497887327271,0.27580300492510607,mean,without_PC1_Pallcacocha
250,-0.09433361124819789,0.23062782542189897,mean,without_PC1_Pallcacocha
300,-0.254869806736937,0.2116166861549082,mean,without_PC1_Pallcacocha
350,-0.32766299306481145,0.2305687193712083,mean,without_PC1_Pallcacocha
400,-0.32805988914878176,0.24400306163301447,mean,without_PC1_Pallcacocha
450,-0.3121795636382427,0.2469528051790649,mean,without_PC1_Pallcacocha
500,-0.29426507291624854,0.2736363436617687,mean,without_PC1_Pallcacocha
550,-0.22933890525207862,0.30044668267674096,mean,without_PC1_Pallcacocha
600,-0.11585108628049773,0.30576536137456656,mean,without_PC1_Pallcacocha
650,0.010241732037573115,0.3001213151794814,mean,without_PC1_Pallcacocha
700,0.09972847290874337,0.2858768452661424,mean,without_PC1_Pallcacocha
750,0.12554610892283607,0.2966116623098837,mean,without_PC1_Pallcacocha
800,0.11282762958520148,0.3375826195468334,mean,without_PC1_Pallcacocha
850,0.13513630584015124,0.3737771723912075,mean,without_PC1_Pallcacocha
900,0.2597266200900432,0.39183523440268964,mean,without_PC1_Pallcacocha
950,0.5190479917692802,0.389900845770086,mean,without_PC1_Pallcacocha
1000,0.8986043922892122,0.36906548048157467,mean,without_PC1_Pallcacocha
1050,1.3616497175208717,0.31031185651709686,mean,without_PC1_Pallcacocha
1100,1.8278520931669855,0.20409042760111357,mean,without_PC1_Pallcacocha
1150,2.1611834238737346,0.09202399504015615,mean,without_PC1_Pallcacocha
1200,2.271800018239489,0.07901677101126096,mean,without_PC1_Pallcacocha
1250,2.303637205169083,0.07199268612870693,mean,without_PC1_Pallcacocha
1300,2.2891134285225645,0.07085349663416708,mean,without_PC1_Pallcacocha
1350,2.3102436598769933,0.08247840653126821,mean,without_PC1_Pallcacocha
1400,2.4553932644150738,0.17663182547217296,mean,without_PC1_Pallcacocha
1450,2.593708991668962,0.22489782433441802,mean,without_PC1_Pallcacocha
1500,2.536374490870577,0.1766300194426354,mean,without_PC1_Pallcacocha
1550,2.091513808370828,0.08246713299061137,mean,without_PC1_Pallcacocha
1600,1.2013458071525784,0.07084242741782076,mean,without_PC1_Pallcacocha
1650,0.3707665509104788,0.0706912122853818,mean,without_PC1_Pallcacocha
1700,0.06676076610235249,0.07053921167238461,mean,without_PC1_Pallcacocha
1750,-0.007850959632826171,0.07053990553252937,mean,without_PC1_Pallcacocha
1800,-0.03661094298486106,0.07053948953890189,mean,without_PC1_Pallcacocha
1850,-0.05782233442947082,0.07084052369965713,mean,without_PC1_Pallcacocha
1900,-0.06387221616705785,0.07196466736235457,mean,without_PC1_Pallcacocha
1950,-0.06242994730496354,0.08625296839151254,mean,without_PC1_Pallcacocha
