year_bp,y_pred,y_std,composite,removed
0,0.3469915020308475,0.5243878411800409,mean,without_SST_Nino
50,0.37633632113914195,0.44629051669269754,mean,without_SST_Nino
100,0.3961820430885963,0.4079047217025024,mean,without_SST_Nino
150,0.3975458422124854,0.3950694167673601,mean,without_SST_Nino
200,0.37654048096929993,0.38969313683620666,mean,without_SST_Nino
250,0.33827576410262866,0.3837054339732478,mean,without_SST_Nino
300,0.29618901316990043,0.37732315665995964,mean,without_SST_Nino
350,0.26353046388914736,0.36996446627451934,mean,without_SST_Nino
400,0.2464935269732939,0.36191199763747367,mean,without_SST_Nino
450,0.2535461632178139,0.36108697912163273,mean,without_SST_Nino
500,0.28661668386870937,0.37248684322992953,mean,without_SST_Nino
550,0.33010133059387553,0.38629887443543837,mean,without_SST_Nino
600,0.3609426727553068,0.3935404262307027,mean,without_SST_Nino
650,0.3615957132979355,0.3932462481718072,mean,without_SST_Nino
700,0.3242669339024904,0.3897103481689689,mean,without_SST_Nino
750,0.24269125446827927,0.38881945844145505,mean,without_SST_Nino
800,0.11989298726168904,0.3904791110622812,mean,without_SST_Nino
850,-0.0202121173679215,0.38842377100603903,mean,without_SST_Nino
900,-0.14410588884797115,0.3796771834384186,mean,without_SST_Nino
950,-0.21140163378374416,0.36680580449179956,mean,without_SST_Nino
1000,-0.17742556880945431,0.36140800769909354,mean,without_SST_Nino
1050,0.009330033879679012,0.37208242472390873,mean,without_SST_Nino
1100,0.3172608985798582,0.3894609482869135,mean,without_SST_Nino
1150,0.672436403656447,0.4012606699656074,mean,without_SST_Nino
1200,1.0000052005799391,0.40283587058706427,mean,without_SST_Nino
1250,1.2489153243435545,0.3932215836842581,mean,without_SST_Nino
1300,1.3832571812245267,0.37388170040621044,mean,without_SST_Nino
1350,1.3779426187619535,0.3490212024309664,mean,without_SST_Nino
1400,1.2168251352069839,0.3285064432859985,mean,without_SST_Nino
1450,0.9285498838215507,0.32204560881009053,mean,without_SST_Nino
1500,0.613050927687028,0.33107711677502183,mean,without_SST_Nino
1550,0.3324219271804493,0.3509977174023012,mean,without_SST_Nino
1600,0.08360592127594363,0.36825645697775317,mean,without_SST_Nino
1650,-0.13541603392026497,0.3772098249660076,mean,without_SST_Nino
1700,-0.3145382973039997,0.380380080380898,mean,without_SST_Nino
1750,-0.44828131798721876,0.38022445841365277,mean,without_SST_Nino
1800,-0.5390545398910189,0.37999900478193094,mean,without_SST_Nino
1850,-0.5948123600575508,0.3863940123702894,mean,without_SST_Nino
1900,-0.6242084684450986,0.41126643176693545,mean,without_SST_Nino
1950,-0.636181293713733,0.47083027259755594,mean,without_SST_Nino
