year_bp,y_pred,y_std,composite,removed
0,-0.13334593149299595,0.35568877787296327,mean,without_Tree rings
50,-0.050622785500825884,0.3255450783907557,mean,without_Tree rings
100,0.01733920207715056,0.32322875982662364,mean,without_Tree rings
150,0.05755738308928776,0.33286476859766284,mean,without_Tree rings
200,0.07136867994431123,0.3420292091618366,mean,without_Tree rings
250,0.0654595623784765,0.346009086487013,mean,without_Tree rings
300,0.05117333230489668,0.3453183392770104,mean,without_Tree rings
350,0.04404560804543134,0.3414387492178011,mean,without_Tree rings
400,0.060610664884979515,0.33741172937711394,mean,without_Tree rings
450,0.11551505486806635,0.33809178286788577,mean,without_Tree rings
500,0.20730724134359307,0.34267524225238727,mean,without_Tree rings
550,0.31954107608002513,0.34468083272181427,mean,without_Tree rings
600,0.4308608391859745,0.34003517191026356,mean,without_Tree rings
650,0.5189176901351438,0.3307850900307586,mean,without_Tree rings
700,0.5655787540543804,0.32369765246872295,mean,without_Tree rings
750,0.5725701882828312,0.32409605689084564,mean,without_Tree rings
800,0.558479874843994,0.33028224665240596,mean,without_Tree rings
850,0.5505028688068803,0.3381069541318203,mean,without_Tree rings
900,0.5757208818723655,0.3463743883005681,mean,without_Tree rings
950,0.6515690157576128,0.3556744941378716,mean,without_Tree rings
1000,0.7755016388667301,0.36457973924443443,mean,without_Tree rings
1050,0.9356163798059518,0.3705840586566716,mean,without_Tree rings
1100,1.1114574981039733,0.37228399057434763,mean,without_Tree rings
1150,1.2743640292531084,0.369325963270304,mean,without_Tree rings
1200,1.396599575184505,0.36251308042826524,mean,without_Tree rings
1250,1.4596339435634949,0.3515627348168784,mean,without_Tree rings
1300,1.4503792842255667,0.33621923121994274,mean,without_Tree rings
1350,1.3575623666205527,0.3184560079901905,mean,without_Tree rings
1400,1.1726546074783695,0.30403351402659085,mean,without_Tree rings
1450,0.9107342444190454,0.29926417693311247,mean,without_Tree rings
1500,0.6292670755575502,0.3055801670067236,mean,without_Tree rings
1550,0.36798319111995786,0.31969016707471726,mean,without_Tree rings
1600,0.13050552413535865,0.33352635709708395,mean,without_Tree rings
1650,-0.08076909079429812,0.34276717403395623,mean,without_Tree rings
1700,-0.2585926606341166,0.34773963791332907,mean,without_Tree rings
1750,-0.3993011611652498,0.3502590237694478,mean,without_Tree rings
1800,-0.5041658248722933,0.3537924266705509,mean,without_Tree rings
1850,-0.5781108704268665,0.364064221166126,mean,without_Tree rings
1900,-0.6272173298286043,0.3884747536178899,mean,without_Tree rings
1950,-0.6579857780547074,0.43418473220765147,mean,without_Tree rings
