year_bp,y_pred,y_std,composite,removed
0,0.6262031431897956,0.44461009677594504,mean,without_galapogos_biomarkers
50,0.634426285028463,0.37844220177098326,mean,without_galapogos_biomarkers
100,0.6286639001553564,0.3402980099785889,mean,without_galapogos_biomarkers
150,0.5965332411555538,0.3268695346735412,mean,without_galapogos_biomarkers
200,0.5351966873080396,0.32565944995475593,mean,without_galapogos_biomarkers
250,0.45103937516015,0.3287098961269746,mean,without_galapogos_biomarkers
300,0.3578259382930901,0.3339221858002795,mean,without_galapogos_biomarkers
350,0.27125722533088503,0.33816156143357,mean,without_galapogos_biomarkers
400,0.20002997686157148,0.341103801158693,mean,without_galapogos_biomarkers
450,0.1503126980840616,0.34700061244879704,mean,without_galapogos_biomarkers
500,0.1260481071852847,0.3574169806247791,mean,without_galapogos_biomarkers
550,0.12542957942424582,0.3667161598231682,mean,without_galapogos_biomarkers
600,0.14188082869955548,0.3697093133521328,mean,without_galapogos_biomarkers
650,0.16753630881657244,0.3655213244237293,mean,without_galapogos_biomarkers
700,0.19692600779895825,0.3569419465108196,mean,without_galapogos_biomarkers
750,0.23017255944387655,0.3483362717487675,mean,without_galapogos_biomarkers
800,0.27470613997015325,0.3411301611408375,mean,without_galapogos_biomarkers
850,0.3420470592869901,0.3339246114401179,mean,without_galapogos_biomarkers
900,0.4354259145667862,0.3274969408962469,mean,without_galapogos_biomarkers
950,0.5401273495241042,0.32573624960646697,mean,without_galapogos_biomarkers
1000,0.6359235924901392,0.33270561312539704,mean,without_galapogos_biomarkers
1050,0.7267210449355734,0.3399843424865866,mean,without_galapogos_biomarkers
1100,0.8164024290625738,0.33918822103622553,mean,without_galapogos_biomarkers
1150,0.9003628724038251,0.32763241318744735,mean,without_galapogos_biomarkers
1200,0.9714352878679862,0.30843783044893336,mean,without_galapogos_biomarkers
1250,1.0310344180383548,0.2891052416000436,mean,without_galapogos_biomarkers
1300,1.0827849635410458,0.277841443606228,mean,without_galapogos_biomarkers
1350,1.1021004928448046,0.27382914058938035,mean,without_galapogos_biomarkers
1400,1.0130579973851985,0.2730115656420841,mean,without_galapogos_biomarkers
1450,0.7822021125476226,0.27297252836186,mean,without_galapogos_biomarkers
1500,0.45877773651114945,0.2729734470198451,mean,without_galapogos_biomarkers
1550,0.09529411546051296,0.2729459884257149,mean,without_galapogos_biomarkers
1600,-0.2754795687225746,0.2729501035454057,mean,without_galapogos_biomarkers
1650,-0.6130007329918663,0.2730389213343964,mean,without_galapogos_biomarkers
1700,-0.8754281297661965,0.27322479749080586,mean,without_galapogos_biomarkers
1750,-1.044263532959007,0.27340142604156126,mean,without_galapogos_biomarkers
1800,-1.1309853131717587,0.2734090400635407,mean,without_galapogos_biomarkers
1850,-1.1618081645938798,0.27409665043521114,mean,without_galapogos_biomarkers
1900,-1.1541652846597519,0.2807664448665904,mean,without_galapogos_biomarkers
1950,-1.123370450934555,0.30716599669877953,mean,without_galapogos_biomarkers
