year_bp,y_pred,y_std,composite,removed
0,0.23289479620349202,0.4449260861872231,median,all_proxies
50,0.23922681615033578,0.39499878779467656,median,all_proxies
100,0.23764657443509818,0.3656768439655132,median,all_proxies
150,0.2200349057224723,0.35199140636686416,median,all_proxies
200,0.18623010613691401,0.34609147768391385,median,all_proxies
250,0.14197259213509905,0.3431056242526995,median,all_proxies
300,0.09695886915573004,0.3415144052210741,median,all_proxies
350,0.06327186994666772,0.340204912732464,median,all_proxies
400,0.047711823360370775,0.3393386787312927,median,all_proxies
450,0.053721941494099035,0.341561456096461,median,all_proxies
500,0.08106605199786715,0.3477233748942901,median,all_proxies
550,0.12692711690979402,0.3537702710812662,median,all_proxies
600,0.1844037628774106,0.3561059900681403,median,all_proxies
650,0.24492304505397713,0.35453037469636445,median,all_proxies
700,0.30067166787412,0.3517265217742531,median,all_proxies
750,0.3501405164092723,0.3514520355227608,median,all_proxies
800,0.4005059510040534,0.3546801250469126,median,all_proxies
850,0.464872787381043,0.3595013723902454,median,all_proxies
900,0.5547351404755589,0.36453453773743316,median,all_proxies
950,0.6740372308206295,0.3692096613111125,median,all_proxies
1000,0.8212041470664027,0.3736412636647041,median,all_proxies
1050,0.9920487558348043,0.3761873122009232,median,all_proxies
1100,1.170552307293554,0.3751792942597177,median,all_proxies
1150,1.329430341183326,0.3698907125766791,median,all_proxies
1200,1.4404007274825212,0.3607910954571056,median,all_proxies
1250,1.4866458533298736,0.3476995491685126,median,all_proxies
1300,1.460188937282006,0.3307127007752804,median,all_proxies
1350,1.3548227347619808,0.3120133087913037,median,all_proxies
1400,1.1659979154095852,0.2971272120211052,median,all_proxies
1450,0.9081656321131895,0.2920769438801736,median,all_proxies
1500,0.6328932226052172,0.29821323121799415,median,all_proxies
1550,0.37657529248479427,0.3123591399273521,median,all_proxies
1600,0.14368559715728874,0.3269769687791146,median,all_proxies
1650,-0.06348408529265315,0.3376984822470141,median,all_proxies
1700,-0.23924827905661916,0.3444393529602338,median,all_proxies
1750,-0.38085885990621493,0.3489591136224566,median,all_proxies
1800,-0.4894589089567767,0.3548089418517486,median,all_proxies
1850,-0.5691272347394579,0.36743993191945973,median,all_proxies
1900,-0.6250259079067777,0.3931822626487706,median,all_proxies
1950,-0.6627283749599605,0.4374046314647062,median,all_proxies
