year_bp,y_pred,y_std,composite,removed
0,0.20398897512562075,0.5466097128626783,median,without_PC1_Pallcacocha
50,0.23793027525764535,0.4026942091801052,median,without_PC1_Pallcacocha
100,0.23249391114085674,0.3487204553132271,median,without_PC1_Pallcacocha
150,0.1596891926009799,0.3266040402780122,median,without_PC1_Pallcacocha
200,0.03535905009213536,0.28954188280706095,median,without_PC1_Pallcacocha
250,-0.12099507260397735,0.24443781405340315,median,without_PC1_Pallcacocha
300,-0.27721933373024477,0.22504314476006013,median,without_PC1_Pallcacocha
350,-0.3671363299956639,0.24266576602853465,median,without_PC1_Pallcacocha
400,-0.39433503248012214,0.25671410173428677,median,without_PC1_Pallcacocha
450,-0.37572683821206554,0.26185304339820514,median,without_PC1_Pallcacocha
500,-0.319548424250097,0.2884940948217811,median,without_PC1_Pallcacocha
550,-0.2025291220499983,0.3150582867309511,median,without_PC1_Pallcacocha
600,-0.05021185320498589,0.32113368350588206,median,without_PC1_Pallcacocha
650,0.08355813379487892,0.31586860331041877,median,without_PC1_Pallcacocha
700,0.15054723220404817,0.30320420957600774,median,without_PC1_Pallcacocha
750,0.13431102093831232,0.3147825814774929,median,without_PC1_Pallcacocha
800,0.0967374078585082,0.35524241009734503,median,without_PC1_Pallcacocha
850,0.12554030665293875,0.3916771861014785,median,without_PC1_Pallcacocha
900,0.2805898470390443,0.4099511356041704,median,without_PC1_Pallcacocha
950,0.5659863542607444,0.4068198975301855,median,without_PC1_Pallcacocha
1000,0.9520372953066591,0.3821945325674661,median,without_PC1_Pallcacocha
1050,1.4067113366537063,0.31918559405888164,median,without_PC1_Pallcacocha
1100,1.851186577451584,0.21057064807868248,median,without_PC1_Pallcacocha
1150,2.1625888414842858,0.09840288862848898,median,without_PC1_Pallcacocha
1200,2.271220970720729,0.08330595320472144,median,without_PC1_Pallcacocha
1250,2.302455451583347,0.07634974656243167,median,without_PC1_Pallcacocha
1300,2.289824775699461,0.07489160984545393,median,without_PC1_Pallcacocha
1350,2.3142984810573726,0.08800443441857184,median,without_PC1_Pallcacocha
1400,2.454825382549628,0.17991799503002007,median,without_PC1_Pallcacocha
1450,2.5838811404803477,0.22693655611739835,median,without_PC1_Pallcacocha
1500,2.519756034493698,0.17991343284815073,median,without_PC1_Pallcacocha
1550,2.07771772280639,0.08798879675964788,median,without_PC1_Pallcacocha
1600,1.203107486179329,0.07487491110389144,median,without_PC1_Pallcacocha
1650,0.38375414571490035,0.0748170267386146,median,without_PC1_Pallcacocha
1700,0.06750236730131576,0.07462650324646485,median,without_PC1_Pallcacocha
1750,-0.011236334173959861,0.07462402543921014,median,without_PC1_Pallcacocha
1800,-0.03810059404326921,0.0746265599667858,median,without_PC1_Pallcacocha
1850,-0.05762043912743453,0.07503730866347802,median,without_PC1_Pallcacocha
1900,-0.06373247662649406,0.07602614390979276,median,without_PC1_Pallcacocha
1950,-0.06251941157546093,0.09246509845004368,median,without_PC1_Pallcacocha
