year_bp,y_pred,y_std,composite,removed
0,0.2221415663869241,0.5550142388227705,median,without_SST_Nino
50,0.26844182625726387,0.49831613328287766,median,without_SST_Nino
100,0.312123219712653,0.46480460425823517,median,without_SST_Nino
150,0.3406708543507686,0.44831265377772384,median,without_SST_Nino
200,0.3463260951103894,0.43996505535106845,median,without_SST_Nino
250,0.33266866039304627,0.43428896897640773,median,without_SST_Nino
300,0.31139655941620914,0.42969774138467665,median,without_SST_Nino
350,0.2967898693128471,0.4255037122924308,median,without_SST_Nino
400,0.29494396235870945,0.4220912782635772,median,without_SST_Nino
450,0.3067299100047216,0.42256067205933606,median,without_SST_Nino
500,0.33057296606640324,0.4283864726804838,median,without_SST_Nino
550,0.3625016701230348,0.4355220483098932,median,without_SST_Nino
600,0.39423518366730026,0.44002850198702353,median,without_SST_Nino
650,0.4166085578380093,0.4410715972365947,median,without_SST_Nino
700,0.4192697044161866,0.440122451264962,median,without_SST_Nino
750,0.3927583376633528,0.43941169401316277,median,without_SST_Nino
800,0.3348005292714204,0.43898308766323324,median,without_SST_Nino
850,0.2574810259175041,0.4366856271196853,median,without_SST_Nino
900,0.18180643575338246,0.43184161301162255,median,without_SST_Nino
950,0.13437466470288562,0.42612890629053485,median,without_SST_Nino
1000,0.14689566041347038,0.4243973103499854,median,without_SST_Nino
1050,0.2539297989987972,0.4296591668984078,median,without_SST_Nino
1100,0.443725276010178,0.4379032134888267,median,without_SST_Nino
1150,0.6742217585690145,0.4433937598132946,median,without_SST_Nino
1200,0.8971247054207453,0.4431946221570103,median,without_SST_Nino
1250,1.0750933392024584,0.4364291188328399,median,without_SST_Nino
1300,1.1796777621447623,0.42411783653433954,median,without_SST_Nino
1350,1.1905397355461718,0.4092213244786086,median,without_SST_Nino
1400,1.0950377515416498,0.3972285268799769,median,without_SST_Nino
1450,0.9065823539291191,0.39333432825670483,median,without_SST_Nino
1500,0.6749795487071408,0.39858937496612196,median,without_SST_Nino
1550,0.43809562081498726,0.4098318115648389,median,without_SST_Nino
1600,0.20570741215621294,0.4204026340380262,median,without_SST_Nino
1650,-0.012432511895897336,0.42703383590614413,median,without_SST_Nino
1700,-0.20299909845279018,0.43028197263746115,median,without_SST_Nino
1750,-0.35830759481119634,0.43185148386384975,median,without_SST_Nino
1800,-0.4773019699281289,0.4349355066870982,median,without_SST_Nino
1850,-0.5638115755870514,0.44495561236900644,median,without_SST_Nino
1900,-0.6236699455392728,0.4692530956572822,median,without_SST_Nino
1950,-0.6635585879058662,0.5153964153551224,median,without_SST_Nino
