year_bp,y_pred,y_std,composite,removed
0,-0.03827078018190211,0.3766406342912627,median,without_Tree rings
50,-0.014254642433774556,0.34951396890007563,median,without_Tree rings
100,-0.0016324696958509022,0.34463691899693755,median,without_Tree rings
150,-0.006685421629041344,0.35096972552272676,median,without_Tree rings
200,-0.023710651734479504,0.358714072525842,median,without_Tree rings
250,-0.04451825489478617,0.3632430393743407,median,without_Tree rings
300,-0.060090921978417866,0.36403928663775403,median,without_Tree rings
350,-0.05943859261183293,0.3620102394813339,median,without_Tree rings
400,-0.030792000712637324,0.35936956560296884,median,without_Tree rings
450,0.03530054056106913,0.3593155469862449,median,without_Tree rings
500,0.13522090251106872,0.36136933531100723,median,without_Tree rings
550,0.2553632739097637,0.3615215660962872,median,without_Tree rings
600,0.38012895294525295,0.35734041841492425,median,without_Tree rings
650,0.4941158026459386,0.35034988385459825,median,without_Tree rings
700,0.5848868254326288,0.3452264667665291,median,without_Tree rings
750,0.6534530776951685,0.345857547799502,median,without_Tree rings
800,0.7066124219014378,0.35140308111156904,median,without_Tree rings
850,0.7576485027937929,0.3590522836005917,median,without_Tree rings
900,0.8224966668060245,0.367500153539646,median,without_Tree rings
950,0.9125960205064152,0.37645854849273663,median,without_Tree rings
1000,1.0278069610190772,0.3845043273456914,median,without_Tree rings
1050,1.1612021241492836,0.38967688198404965,median,without_Tree rings
1100,1.2960351534711307,0.3907638104350876,median,without_Tree rings
1150,1.408528445685533,0.38730205687684166,median,without_Tree rings
1200,1.4776329878826946,0.37968686698832294,median,without_Tree rings
1250,1.491140966982889,0.3679872644506013,median,without_Tree rings
1300,1.4431636835821697,0.35269506249887006,median,without_Tree rings
1350,1.3290352276433546,0.33606023721808653,median,without_Tree rings
1400,1.1454832404020552,0.3229293335676076,median,without_Tree rings
1450,0.904329105483118,0.3184233329430587,median,without_Tree rings
1500,0.6463947815252962,0.3237594254803855,median,without_Tree rings
1550,0.4015521895716858,0.33614692518063893,median,without_Tree rings
1600,0.1751967172012454,0.349334812830347,median,without_Tree rings
1650,-0.029043542358041963,0.35959546104200046,median,without_Tree rings
1700,-0.2051933209336283,0.3667378816987903,median,without_Tree rings
1750,-0.35008394945493837,0.37235874794554896,median,without_Tree rings
1800,-0.4640286795189723,0.3797235568875568,median,without_Tree rings
1850,-0.550021883040186,0.3936302273668229,median,without_Tree rings
1900,-0.612262484591047,0.4193423939952363,median,without_Tree rings
1950,-0.6555026293050469,0.46104666931139066,median,without_Tree rings
