year_bp,y_pred,y_std,composite,removed
0,0.472905845686568,0.5148883454438277,weighted,without_PC1_Pallcacocha
50,0.4409866449286489,0.3737213060521011,weighted,without_PC1_Pallcacocha
100,0.36668990279338326,0.32731970033659286,weighted,without_PC1_Pallcacocha
150,0.2427643047358918,0.31043505963155565,weighted,without_PC1_Pallcacocha
200,0.08381436038213624,0.27458451269259815,weighted,without_PC1_Pallcacocha
250,-0.08782129436394637,0.22920263968740695,weighted,without_PC1_Pallcacocha
300,-0.2350050833648421,0.2101795703659933,weighted,without_PC1_Pallcacocha
350,-0.2972151568213525,0.2294564059197733,weighted,without_PC1_Pallcacocha
400,-0.29216413870963326,0.2428372908278026,weighted,without_PC1_Pallcacocha
450,-0.27297623636114904,0.24539449527545823,weighted,without_PC1_Pallcacocha
500,-0.25200777909076527,0.2722114902422631,weighted,without_PC1_Pallcacocha
550,-0.1872092170041068,0.29918146773783844,weighted,without_PC1_Pallcacocha
600,-0.0793276613123507,0.3043780666403649,weighted,without_PC1_Pallcacocha
650,0.03747102453587675,0.2986608395278074,weighted,without_PC1_Pallcacocha
700,0.11934994774283686,0.28407586391610934,weighted,without_PC1_Pallcacocha
750,0.14004279610642456,0.2947062388039531,weighted,without_PC1_Pallcacocha
800,0.11992362599036288,0.3359468237801434,weighted,without_PC1_Pallcacocha
850,0.1305048080928749,0.3722301015475743,weighted,without_PC1_Pallcacocha
900,0.24085825594913773,0.39029435148786257,weighted,without_PC1_Pallcacocha
950,0.4898377797068606,0.38854319953576155,weighted,without_PC1_Pallcacocha
1000,0.8691962920235811,0.3683123266570334,weighted,without_PC1_Pallcacocha
1050,1.3431830000185732,0.3100942897138562,weighted,without_PC1_Pallcacocha
1100,1.826312981280801,0.20385524182922535,weighted,without_PC1_Pallcacocha
1150,2.172226215329296,0.09130309151677746,weighted,without_PC1_Pallcacocha
1200,2.282128840805747,0.07860467723271095,weighted,without_PC1_Pallcacocha
1250,2.306434303648091,0.07153693025789166,weighted,without_PC1_Pallcacocha
1300,2.2886417871124918,0.07044984890646605,weighted,without_PC1_Pallcacocha
1350,2.309227408574236,0.08186209301439722,weighted,without_PC1_Pallcacocha
1400,2.4554196692332195,0.17685189465845294,weighted,without_PC1_Pallcacocha
1450,2.5954240525536076,0.22556129167136688,weighted,without_PC1_Pallcacocha
1500,2.539265865974787,0.1768504203759836,weighted,without_PC1_Pallcacocha
1550,2.093903163022193,0.08185149822633929,weighted,without_PC1_Pallcacocha
1600,1.2010337242722275,0.07043920088776946,weighted,without_PC1_Pallcacocha
1650,0.36846627049245745,0.07026994619230616,weighted,without_PC1_Pallcacocha
1700,0.06672054419495638,0.07012434757713608,weighted,without_PC1_Pallcacocha
1750,-0.007252243767545019,0.07012532160603126,weighted,without_PC1_Pallcacocha
1800,-0.0363810375923414,0.0701247532925065,weighted,without_PC1_Pallcacocha
1850,-0.05787115617253402,0.07040884275291032,weighted,without_PC1_Pallcacocha
1900,-0.06389233904676828,0.07155875594533091,weighted,without_PC1_Pallcacocha
1950,-0.062412689632821705,0.08553749862689028,weighted,without_PC1_Pallcacocha
