year_bp,y_pred,y_std,composite,removed
0,0.32271619295646464,0.5235512737159662,weighted,without_SST_Nino
50,0.3558142409263709,0.44453808882406043,weighted,without_SST_Nino
100,0.3797036819951614,0.40604542154195444,weighted,without_SST_Nino
150,0.3850355321372554,0.3934579928307782,weighted,without_SST_Nino
200,0.367556217818011,0.38821933765930217,weighted,without_SST_Nino
250,0.3320484386802402,0.38219246277443913,weighted,without_SST_Nino
300,0.29187356981849355,0.37573859376242386,weighted,without_SST_Nino
350,0.2604526697179247,0.36825958924020896,weighted,without_SST_Nino
400,0.24488877701758627,0.35997763583550846,weighted,without_SST_Nino
450,0.2550350780169235,0.35906945682828806,weighted,without_SST_Nino
500,0.29305964381847066,0.3707536152864028,weighted,without_SST_Nino
550,0.3420983092094718,0.38489208985367573,weighted,without_SST_Nino
600,0.37787387850847426,0.3922354250155312,weighted,without_SST_Nino
650,0.38212998131091264,0.3918304894878242,weighted,without_SST_Nino
700,0.34670797020438426,0.3881327626743715,weighted,without_SST_Nino
750,0.26509703613988916,0.38723888456197686,weighted,without_SST_Nino
800,0.14011089922103714,0.3890483728150114,weighted,without_SST_Nino
850,-0.004143831302523715,0.3870583322007765,weighted,without_SST_Nino
900,-0.13338872386833472,0.3781553568726409,weighted,without_SST_Nino
950,-0.20581430737298162,0.3649219637498184,weighted,without_SST_Nino
1000,-0.17495547883172885,0.3593155197340426,weighted,without_SST_Nino
1050,0.011931494293668687,0.3702583916543172,weighted,without_SST_Nino
1100,0.3221458256022396,0.388074975160017,weighted,without_SST_Nino
1150,0.680163509201479,0.4001467284025961,weighted,without_SST_Nino
1200,1.0099514365105093,0.4017877441330273,weighted,without_SST_Nino
1250,1.2599253998981215,0.3920550350444926,weighted,without_SST_Nino
1300,1.393915435450064,0.37242906554027044,weighted,without_SST_Nino
1350,1.3866455171348633,0.3471444019046384,weighted,without_SST_Nino
1400,1.2218033378748079,0.32626597615570296,weighted,without_SST_Nino
1450,0.9287980247194947,0.3197028996894079,weighted,without_SST_Nino
1500,0.6100578299549175,0.3288833001668695,weighted,without_SST_Nino
1550,0.3285742687984119,0.34918865892276285,weighted,without_SST_Nino
1600,0.08021083168337934,0.36671673773202734,weighted,without_SST_Nino
1650,-0.13792144357258335,0.37572433596439364,weighted,without_SST_Nino
1700,-0.31596130255096183,0.37887390508342006,weighted,without_SST_Nino
1750,-0.4485045605560451,0.37866257839570994,weighted,without_SST_Nino
1800,-0.538041821567179,0.37831951667492925,weighted,without_SST_Nino
1850,-0.5926195947193078,0.38453798242959275,weighted,without_SST_Nino
1900,-0.6209186159630262,0.4093407876426243,weighted,without_SST_Nino
1950,-0.6318962511397674,0.4694081602844998,weighted,without_SST_Nino
