year_bp,y_pred,y_std,composite,removed
0,-0.16112826290183646,0.35324425785967045,weighted,without_Tree rings
50,-0.0691332770173178,0.32299147729049416,weighted,without_Tree rings
100,0.00892816538473068,0.32087133439837395,weighted,without_Tree rings
150,0.05971938601637378,0.33070838316157747,weighted,without_Tree rings
200,0.08360899639133956,0.33994200559844195,weighted,without_Tree rings
250,0.08646032890393751,0.34387722072227467,weighted,without_Tree rings
300,0.07911729365042086,0.34309868566159163,weighted,without_Tree rings
350,0.07669980539884558,0.3391116237384081,weighted,without_Tree rings
400,0.09620065048538767,0.33499820841305694,weighted,without_Tree rings
450,0.1532584755039365,0.3357237888912904,weighted,without_Tree rings
500,0.246417082797383,0.3404693238438788,weighted,without_Tree rings
550,0.35857646205533655,0.34259327283338237,weighted,without_Tree rings
600,0.4683593248776605,0.33791774245372275,weighted,without_Tree rings
650,0.554248951709361,0.32852633278037086,weighted,without_Tree rings
700,0.5991694912613932,0.3213245065224718,weighted,without_Tree rings
750,0.6038381993741752,0.32172674819032876,weighted,without_Tree rings
800,0.5847325191427984,0.3279661053120036,weighted,without_Tree rings
850,0.567921605689662,0.33579888750007014,weighted,without_Tree rings
900,0.5809587198690287,0.34404127171516546,weighted,without_Tree rings
950,0.643449859811504,0.35334815358240246,weighted,without_Tree rings
1000,0.7562486398901561,0.36229283988156263,weighted,without_Tree rings
1050,0.9096938769841136,0.3683327453586347,weighted,without_Tree rings
1100,1.083827039086868,0.37005386386385264,weighted,without_Tree rings
1150,1.249071486358899,0.36711346992011334,weighted,without_Tree rings
1200,1.3762927709250845,0.3603463959927271,weighted,without_Tree rings
1250,1.445589027661976,0.3494476873942736,weighted,without_Tree rings
1300,1.4424363948183794,0.33410906430454423,weighted,without_Tree rings
1350,1.354401237084413,0.3162800007743022,weighted,without_Tree rings
1400,1.1721131934021463,0.30177716788316133,weighted,without_Tree rings
1450,0.9107172134525715,0.29698812504573685,weighted,without_Tree rings
1500,0.6290587736506272,0.3033568995904328,weighted,without_Tree rings
1550,0.36776260152059925,0.31757240060918146,weighted,without_Tree rings
1600,0.13034750396449513,0.3314536765769676,weighted,without_Tree rings
1650,-0.08086649193888262,0.34064834539798955,weighted,without_Tree rings
1700,-0.2584994869203815,0.34552435605870896,weighted,without_Tree rings
1750,-0.3987974214595017,0.3479048497990011,weighted,without_Tree rings
1800,-0.5030345616080008,0.35124791061111554,weighted,without_Tree rings
1850,-0.5762035390084107,0.3613035958115961,weighted,without_Tree rings
1900,-0.6244583057293778,0.3855808269516401,weighted,without_Tree rings
1950,-0.65437445365479,0.43142924456011994,weighted,without_Tree rings
