year_bp,y_pred,y_std,composite,removed
0,0.6265590680912726,0.44281414827609394,weighted,without_galapogos_biomarkers
50,0.6441292513423093,0.375991600458393,weighted,without_galapogos_biomarkers
100,0.6489293053205609,0.33767054996319507,weighted,without_galapogos_biomarkers
150,0.6277225896302476,0.32441201391504904,weighted,without_galapogos_biomarkers
200,0.5758731746018761,0.3233763074505167,weighted,without_galapogos_biomarkers
250,0.49888957813175383,0.3264979874329682,weighted,without_galapogos_biomarkers
300,0.41069224747511857,0.331751307885902,weighted,without_galapogos_biomarkers
350,0.32708160578490986,0.3359618992930241,weighted,without_galapogos_biomarkers
400,0.2569153189297443,0.33881338879392164,weighted,without_galapogos_biomarkers
450,0.2068681121890345,0.3447162013134938,weighted,without_galapogos_biomarkers
500,0.18103771003085364,0.3553133925770875,weighted,without_galapogos_biomarkers
550,0.17708574580495223,0.3648056609984157,weighted,without_galapogos_biomarkers
600,0.18811857592016595,0.367858609336069,weighted,without_galapogos_biomarkers
650,0.2065646730180567,0.36358452961900467,weighted,without_galapogos_biomarkers
700,0.22776367480049303,0.3548597528130715,weighted,without_galapogos_biomarkers
750,0.2520842318982244,0.3461673913094219,weighted,without_galapogos_biomarkers
800,0.2866882137180826,0.33893347341044133,weighted,without_galapogos_biomarkers
850,0.34309880019079253,0.33165630101253313,weighted,without_galapogos_biomarkers
900,0.424964889882815,0.32510058216791404,weighted,without_galapogos_biomarkers
950,0.5185473266491081,0.3232968283520609,weighted,without_galapogos_biomarkers
1000,0.6048733762169192,0.33050706481292863,weighted,without_galapogos_biomarkers
1050,0.6898220419661995,0.33808603128615683,weighted,without_galapogos_biomarkers
1100,0.7784717212620889,0.3374225093717629,weighted,without_galapogos_biomarkers
1150,0.8662650910945876,0.32576703081668607,weighted,without_galapogos_biomarkers
1200,0.9451229124501439,0.30631115212179105,weighted,without_galapogos_biomarkers
1250,1.0145433259227148,0.28672809046402487,weighted,without_galapogos_biomarkers
1300,1.0756438891899325,0.27541151124275076,weighted,without_galapogos_biomarkers
1350,1.1024617009796926,0.27144778068870773,weighted,without_galapogos_biomarkers
1400,1.017302774746274,0.2706660797701826,weighted,without_galapogos_biomarkers
1450,0.7865286393044301,0.2706346439751435,weighted,without_galapogos_biomarkers
1500,0.4614980986638302,0.2706331082997208,weighted,without_galapogos_biomarkers
1550,0.0961820779695377,0.2706031516825219,weighted,without_galapogos_biomarkers
1600,-0.27641025826721555,0.2706048839362453,weighted,without_galapogos_biomarkers
1650,-0.6153864392396379,0.2706904928117798,weighted,without_galapogos_biomarkers
1700,-0.8783500042369498,0.27087608084349185,weighted,without_galapogos_biomarkers
1750,-1.0466786685230818,0.2710609033323773,weighted,without_galapogos_biomarkers
1800,-1.1323046042852012,0.2710729895614961,weighted,without_galapogos_biomarkers
1850,-1.1620096999014582,0.2717084525053387,weighted,without_galapogos_biomarkers
1900,-1.1532502244118865,0.2782418869966587,weighted,without_galapogos_biomarkers
1950,-1.1212698049057768,0.30466680779316707,weighted,without_galapogos_biomarkers
