medianAge	AGE (kyr BP)	Variance
-59	-0.059	297.5415839
-51.24024024	-0.051	296.7550017
-43.48048048	-0.043	295.970499
-35.72072072	-0.036	295.18807
-27.96096096	-0.028	294.4077054
-20.2012012	-0.020	293.6293881
-12.44144144	-0.012	292.8530993
-4.681681682	-0.005	292.0788238
3.078078078	0.003	291.306554
10.83783784	0.011	290.5362871
18.5975976	0.019	289.7680234
26.35735736	0.026	289.0017635
34.11711712	0.034	288.2375115
41.87687688	0.042	287.4752755
49.63663664	0.050	286.7150638
57.3963964	0.057	285.9568846
65.15615616	0.065	285.2007457
72.91591592	0.073	284.4466552
80.67567568	0.081	283.6946207
88.43543544	0.088	282.94465
96.1951952	0.096	282.1967504
103.954955	0.104	281.4509294
111.7147147	0.112	280.707193
119.4744745	0.119	279.9655418
127.2342342	0.127	279.2259753
134.993994	0.135	278.4884926
142.7537538	0.143	277.7530894
150.5135135	0.151	277.0197582
158.2732733	0.158	276.2884913
166.033033	0.166	275.559281
173.7927928	0.174	274.8321189
181.5525526	0.182	274.1069966
189.3123123	0.189	273.3839062
197.0720721	0.197	272.6628435
204.8318318	0.205	271.9438067
212.5915916	0.213	271.2267942
220.3513514	0.220	270.5118073
228.1111111	0.228	269.7988548
235.8708709	0.236	269.0879459
243.6306306	0.244	268.3790901
251.3903904	0.251	267.6722964
259.1501502	0.259	266.9675738
266.9099099	0.267	266.2649314
274.6696697	0.275	265.5643813
282.4294294	0.282	264.8659376
290.1891892	0.290	264.1696143
297.9489489	0.298	263.4754242
305.7087087	0.306	262.7833792
313.4684685	0.313	262.0934903
321.2282282	0.321	261.4057631
328.987988	0.329	260.720201
336.7477477	0.337	260.0368067
344.5075075	0.345	259.3555752
352.2672673	0.352	258.676498
360.027027	0.360	257.9995663
367.7867868	0.368	257.3247715
375.5465465	0.376	256.652105
383.3063063	0.383	255.9815573
391.0660661	0.391	255.3131144
398.8258258	0.399	254.646761
406.5855856	0.407	253.9824822
414.3453453	0.414	253.3202638
422.1051051	0.422	252.6600935
429.8648649	0.430	252.0019587
437.6246246	0.438	251.3458508
445.3843844	0.445	250.691768
453.1441441	0.453	250.0397096
460.9039039	0.461	249.389676
468.6636637	0.469	248.7416788
476.4234234	0.476	248.0957351
484.1831832	0.484	247.4518617
491.9429429	0.492	246.8100774
499.7027027	0.500	246.1704132
507.4624625	0.507	245.5329041
515.2222222	0.515	244.8975844
522.981982	0.523	244.2644883
530.7417417	0.531	243.6336493
538.5015015	0.539	243.0051021
546.2612613	0.546	242.3788872
554.021021	0.554	241.7550478
561.7807808	0.562	241.13363
569.5405405	0.570	240.5146802
577.3003003	0.577	239.8982449
585.0600601	0.585	239.2843704
592.8198198	0.593	238.6731021
600.5795796	0.601	238.064483
608.3393393	0.608	237.4585552
616.0990991	0.616	236.8553589
623.8588589	0.624	236.2549308
631.6186186	0.632	235.6573059
639.3783784	0.639	235.0625177
647.1381381	0.647	234.470595
654.8978979	0.655	233.8815652
662.6576577	0.663	233.2954532
670.4174174	0.670	232.7122791
678.1771772	0.678	232.1320625
685.9369369	0.686	231.55482
693.6966967	0.694	230.9805637
701.4564565	0.701	230.4093053
709.2162162	0.709	229.8410537
716.975976	0.717	229.275814
724.7357357	0.725	228.7135909
732.4954955	0.732	228.1543865
740.2552553	0.740	227.5982009
748.015015	0.748	227.0450336
755.7747748	0.756	226.4948836
763.5345345	0.764	225.9477488
771.2942943	0.771	225.4036273
779.0540541	0.779	224.8625182
786.8138138	0.787	224.3244216
794.5735736	0.795	223.7893378
802.3333333	0.802	223.25727
810.0930931	0.810	222.7282241
817.8528529	0.818	222.2022061
825.6126126	0.826	221.6792271
833.3723724	0.833	221.1593004
841.1321321	0.841	220.64244
848.8918919	0.849	220.1286643
856.6516517	0.857	219.617994
864.4114114	0.864	219.1104499
872.1711712	0.872	218.6060556
879.9309309	0.880	218.1048363
887.6906907	0.888	217.6068169
895.4504505	0.895	217.1120226
903.2102102	0.903	216.6204785
910.96997	0.911	216.1322097
918.7297297	0.919	215.6472395
926.4894895	0.926	215.1655893
934.2492492	0.934	214.6872786
942.009009	0.942	214.2123237
949.7687688	0.950	213.7407371
957.5285285	0.958	213.2725288
965.2882883	0.965	212.8077056
973.048048	0.973	212.3462725
980.8078078	0.981	211.8882328
988.5675676	0.989	211.4335881
996.3273273	0.996	210.9823395
1004.087087	1.004	210.5344878
1011.846847	1.012	210.0900342
1019.606607	1.020	209.648981
1027.366366	1.027	209.2113325
1035.126126	1.035	208.7770942
1042.885886	1.043	208.3462746
1050.645646	1.051	207.9188834
1058.405405	1.058	207.4949336
1066.165165	1.066	207.0744397
1073.924925	1.074	206.6574197
1081.684685	1.082	206.2438928
1089.444444	1.089	205.8338808
1097.204204	1.097	205.4274071
1104.963964	1.105	205.0244963
1112.723724	1.113	204.6251738
1120.483483	1.120	204.2294655
1128.243243	1.128	203.837397
1136.003003	1.136	203.4489933
1143.762763	1.144	203.0642788
1151.522523	1.152	202.6832768
1159.282282	1.159	202.3060088
1167.042042	1.167	201.9324954
1174.801802	1.175	201.5627549
1182.561562	1.183	201.1968047
1190.321321	1.190	200.8346602
1198.081081	1.198	200.4763353
1205.840841	1.206	200.121843
1213.600601	1.214	199.771195
1221.36036	1.221	199.4244019
1229.12012	1.229	199.0814735
1236.87988	1.237	198.7424184
1244.63964	1.245	198.4072446
1252.399399	1.252	198.0759588
1260.159159	1.260	197.7485669
1267.918919	1.268	197.4250737
1275.678679	1.276	197.1054833
1283.438438	1.283	196.7897985
1291.198198	1.291	196.4780213
1298.957958	1.299	196.1701525
1306.717718	1.307	195.8661923
1314.477477	1.314	195.5661393
1322.237237	1.322	195.2699912
1329.996997	1.330	194.9777441
1337.756757	1.338	194.6893926
1345.516517	1.346	194.4049292
1353.276276	1.353	194.1243446
1361.036036	1.361	193.8476268
1368.795796	1.369	193.5747613
1376.555556	1.377	193.3057306
1384.315315	1.384	193.0405145
1392.075075	1.392	192.7790901
1399.834835	1.400	192.5214319
1407.594595	1.408	192.2675122
1415.354354	1.415	192.0173016
1423.114114	1.423	191.77077
1430.873874	1.431	191.5278861
1438.633634	1.439	191.2886191
1446.393393	1.446	191.0529378
1454.153153	1.454	190.8208123
1461.912913	1.462	190.5922132
1469.672673	1.470	190.3671118
1477.432432	1.477	190.1454811
1485.192192	1.485	189.9272958
1492.951952	1.493	189.7125329
1500.711712	1.501	189.5011697
1508.471471	1.508	189.2931852
1516.231231	1.516	189.08856
1523.990991	1.524	188.8872761
1531.750751	1.532	188.6893163
