depth_mm	age_calkaBP	d18O	d13C
0.257	1.278	-8.58	-11.23
0.8135	1.361	-8.24	-11.65
1.37	1.445	-8.29	-11.69
2.013	1.541	-8.5	-11.34
2.656	1.638	-8.15	-11.44
3.853	1.817	-8.28	-11.59
4.419	1.902	-8.17	-11.75
4.702	1.944	-8.53	-11.43
5.111	2.006	-7.8	-11
5.52	2.067	-7.89	-10.71
5.929	2.128	-7.75	-10.83
6.286	2.182	-8.38	-11.42
6.643	2.235	-8.43	-11.52
7	2.289	-8.25	-11.35
7.24075	2.325	-8.57	-11.61
7.4815	2.361	-8.68	-12.16
7.72225	2.397	-8.86	-11.98
7.963	2.433	-8.85	-12.09
8.6095	2.53	-8.85	-11.89
8.93275	2.578	-8.64	-11.97
9.256	2.627	-8.95	-11.82
9.827	2.712	-8.69	-11.81
10.398	2.798	-8.78	-11.81
11.263	2.928	-8.91	-11.54
11.6545	2.986	-9.05	-11.65
12.046	3.045	-8.83	-10.56
13.28	3.23	-9.33	-10.99
14.239	3.374	-8.73	-10.8
14.62866667	3.432	-8.99	-11
15.01833333	3.491	-8.72	-11.61
15.408	3.549	-8.13	-10.39
15.8825	3.62	-8.43	-11.27
16.357	3.691	-9.34	-11.45
17.168	3.813	-8.66	-11.29
17.5615	3.872	-8.73	-11.34
17.955	3.931	-8.15	-10.89
18.3605	3.992	-8.36	-10.28
18.766	4.052	-9.14	-11.37
19.1715	4.113	-9.44	-12.1
19.577	4.174	-9.54	-11.91
21.0225	4.391	-9.62	-11.89
22.468	4.607	-9.65	-11.7
23.312	4.731	-9.82	-11.16
23.99977778	4.821	-9.88	-11.75
25	4.951	-9.07	-11.48
25.46866667	5.012	-9.18	-11.41
25.93733333	5.073	-8.96	-11.36
26.406	5.134	-8.33	-11.33
26.96966667	5.207	-8.84	-11.18
28.097	5.354	-8.68	-11.14
29.12966667	5.488	-8.62	-11.19
29.646	5.555	-8.79	-11.25
29.9374	5.593	-8.34	-11.29
30.2288	5.631	-8.57	-11.47
30.5202	5.669	-8.42	-11.61
30.8116	5.707	-9.04	-11.64
31.103	5.745	-9.08	-11.68
31.8415	5.841	-8.87	-11.8
32.58	5.937	-9.16	-11.96
33.139	6.01	-9.33	-11.92
33.698	6.083	-9.3	-11.85
34.257	6.155	-9.7	-12.01
34.698	6.213	-9.66	-11.82
35.139	6.27	-9.09	-11.98
35.58	6.327	-8.94	-11.51
36.031	6.386	-8.95	-11.89
36.482	6.445	-9.01	-12.06
36.933	6.503	-8.7	-12.04
37.29325	6.55	-8.82	-11.87
37.6535	6.597	-8.71	-11.91
38.01375	6.644	-8.82	-11.85
38.374	6.691	-9.3	-11.92
38.90833333	6.761	-8.9	-11.65
39.44266667	6.83	-9.01	-11.15
39.977	6.9	-9.43	-11.75
40.7115	6.972	-10.16	-11.92
41.446	6.996	-9.47	-11.3
42.01275	7.013	-9.74	-11.48
42.5795	7.031	-9.45	-12
43.14625	7.049	-9.03	-11.69
43.713	7.067	-9.19	-11.76
45.141	7.112	-9.1	-11.78
45.673	7.129	-8.94	-11.22
46.205	7.145	-9.33	-11.99
46.7015	7.161	-8.63	-11.88
48.191	7.208	-9.11	-12.05
48.56	7.219	-8.59	-11.63
48.929	7.231	-8.95	-11.97
49.298	7.243	-8.22	-11.43
49.667	7.254	-8.5	-11.67
50.022	7.265	-8.4	-11.66
50.732	7.288	-7.88	-11.69
51.336	7.307	-7.71	-11.67
51.94	7.326	-7	-10.65
52.544	7.345	-7.53	-11.69
53.0375	7.36	-7.95	-11.59
53.531	7.376	-7.77	-11.69
54.1025	7.394	-8.39	-11.67
54.674	7.412	-8.11	-11.53
55.104	7.425	-8	-11.12
55.534	7.439	-8.77	-12.04
55.964	7.452	-8.18	-11.51
59.7925	7.573	-8.4	-11.5
63.621	7.693	-8.1	-11.75
64.487	7.721	-7.78	-11.47
65.755	7.76	-7.85	-11.57
67.056	7.801	-7.82	-11.38
68.365	7.843	-7.35	-11.12
69.907	7.891	-7.59	-11.13
71.844	7.952	-7.9	-10.92
73.087	7.991	-8.14	-11.11
74.8385	NA	NA	NA
76.59	8.215	-8.32	-10.56
78.795	8.296	-8.41	-11.06
80.206	8.347	-8.01	-11.5
82.146	8.418	-7.86	-11.68
83.557	8.469	-7.85	-11.39
85.497	8.54	-8.29	-11.7
87.261	8.604	-8.36	-11.8
88.672	8.656	-8.7	-12.1
90.037	8.705	-8.91	-12.25
91.406	8.755	-8.74	-11.99
92.553	8.797	-8.63	-11.89
93.611	8.836	-8.83	-12.14
95.375	8.9	-8.77	-12.32
96.61	8.945	-8.74	-12.08
98.285	9.006	-8.51	-12.13
100.138	9.073	-8.64	-11.99
101.99	9.141	-8.91	-11.98
103.886	9.21	-9.06	-12.09
105.236	9.259	-9.36	-12.19
106.444	9.303	-9.29	-12.06
108.191	9.367	-9.92	-12.46
110.13	9.438	-9.38	-12.48
111.956	9.504	-9.61	-12.11
114.013	9.579	-10.47	-12.46
115.461	9.632	-10.32	-12.08
116.817	9.681	-10.05	-12.23
118.797	9.753	-9.28	-11.82
121.831	9.864	-8.64	-12.2
122.989	9.906	-8.46	-11.74
124.355	9.956	-8.8	-11.87
125.459	9.996	-8.36	-11.28
127.829	NA	NA	NA
130.199	10.47	-8.07	-10.84
132.072	10.55	-8.92	-11.42
133.401	10.61	-8.9	-11.27
134.352	10.65	-8.94	-11.38
135.46	10.7	-9.37	-11.49
137.049	10.78	-9.99	-11.77
137.873	10.81	-9.74	-11.54
139.056	10.87	-9.56	-11.57
