Depth_in_core	Age_BP	Sr/Ca	Sr/Ca_200	Sr/Ca_SE	Sr/Ca_T	d18O	d18O_200	d18O_SE	d18Osw	d18Osw_200	d18Osw_SE	Ba/Ca	Ba/Ca_200	Ba/Ca_SE	d13C	d13C_200	d13C_SE	B/Ca	B/Ca_200	B/Ca_SE
2	0	NA	NA	NA	NA	-5.51	NA	NA	NA	NA	NA	NA	NA	NA	-4.99	NA	NA	NA	NA	NA
2	0	9.08	NA	NA	NA	-5.54	NA	NA	-3.03	NA	NA	4.72	NA	NA	-4.93	NA	NA	1.31	NA	NA
2	0	9.13	NA	NA	NA	-5.14	NA	NA	-2.39	NA	NA	5.02	NA	NA	-4.27	NA	NA	1.5	NA	NA
3	0	9.21	NA	NA	NA	-5.53	NA	NA	-2.33	NA	NA	5.51	NA	NA	-4.19	NA	NA	1.84	NA	NA
3	0	9.08	NA	NA	NA	-5.78	NA	NA	-1.66	NA	NA	3.95	NA	NA	-3.86	NA	NA	2.61	NA	NA
4	0	9.1	NA	NA	NA	-6.2	NA	NA	-2.24	NA	NA	6.06	NA	NA	-4.77	NA	NA	1.98	NA	NA
4	0	NA	NA	NA	NA	-5.86	NA	NA	0.44	NA	NA	NA	NA	NA	-3.85	NA	NA	NA	NA	NA
5	0	9.14	NA	NA	NA	-6.44	NA	NA	-2.75	NA	NA	6.56	NA	NA	-5.54	NA	NA	1.75	NA	NA
5	0	9.1	NA	NA	NA	-6.38	NA	NA	-2.41	NA	NA	6.29	NA	NA	-4.92	NA	NA	1.57	NA	NA
6	0	9.15	NA	NA	NA	-5.23	NA	NA	-1.56	NA	NA	6.74	NA	NA	-3.28	NA	NA	1.92	NA	NA
6	0	9.18	NA	NA	NA	-5.37	NA	NA	-1.9	NA	NA	5.81	NA	NA	-4.55	NA	NA	1.69	NA	NA
7	0	9.18	NA	NA	NA	-5.4	NA	NA	-1.93	NA	NA	7.52	NA	NA	-3.69	NA	NA	2.09	NA	NA
7	0	9.27	NA	NA	NA	-5.46	NA	NA	-2.66	NA	NA	5.33	NA	NA	-4.54	NA	NA	1.8	NA	NA
8	0	9.01	NA	NA	NA	-7.18	NA	NA	-2.58	NA	NA	6.23	NA	NA	-4.74	NA	NA	1.75	NA	NA
8	0	9.14	NA	NA	NA	-6.4	NA	NA	-2.7	NA	NA	7.71	NA	NA	-4.1	NA	NA	1.61	NA	NA
9	0	9.06	NA	NA	NA	-6.86	NA	NA	-2.63	NA	NA	8.8	NA	NA	-5.05	NA	NA	1.76	NA	NA
10	0	9.37	NA	NA	NA	-5.35	NA	NA	-3.2	NA	NA	4.94	NA	NA	-4.88	NA	NA	1.83	NA	NA
34	540.4	9.47	9.51	0.06	16.05	-4.81	-4.52	0.33	-3.32	-3.34	0.44	5.39	4.96	0.43	-4	-3.15	0.3	1.68	1.74	0.34
35	568.4	9.46	9.5	0.06	16.31	-4.51	-4.63	0.32	-3.01	-3.34	0.38	4.88	4.95	0.38	-3.62	-3.14	0.26	1.5	1.73	0.3
35	568.4	9.35	9.5	0.06	16.31	-4.19	-4.63	0.32	-1.89	-3.34	0.38	5.23	4.95	0.38	-2.95	-3.14	0.26	1.34	1.73	0.3
36	596.5	9.68	9.5	0.06	16.31	-3.85	-4.63	0.32	-3.84	-3.34	0.38	5.66	4.95	0.38	-2.7	-3.14	0.26	1.51	1.73	0.3
37	624.5	9.55	9.5	0.05	16.24	-5.13	-4.83	0.35	-4.21	-3.57	0.41	3.37	4.99	0.34	-2.91	-3.25	0.26	2.99	1.73	0.27
37	624.5	9.56	9.5	0.05	16.24	-4.63	-4.83	0.35	-3.75	-3.57	0.41	5.24	4.99	0.34	-2.69	-3.25	0.26	1.42	1.73	0.27
38	652.5	9.4	9.5	0.06	16.16	-5.28	-4.83	0.39	-3.34	-3.6	0.46	4.91	4.93	0.38	-3.07	-3.14	0.26	1.66	1.74	0.3
40	708.6	9.53	9.41	0.07	17.75	-6.23	-5.46	0.35	-5.17	-3.57	0.43	5.23	5.21	0.48	-4.02	-3.18	0.25	1.77	1.95	0.31
42	764.7	9.31	9.24	0.08	20.55	-4.95	-5.55	0.34	-2.38	-2.93	0.61	4.82	5.24	0.52	-2.83	-2.82	0.38	2.55	1.86	0.31
43	792.8	9.25	9.23	0.07	20.66	-6.25	-5.53	0.31	-3.27	-2.81	0.55	6.75	5.36	0.47	-3.38	-2.9	0.35	1.55	1.86	0.28
44	806.4	9.26	9.23	0.07	20.66	-5.74	-5.53	0.31	-2.85	-2.81	0.55	6.16	5.36	0.47	-3.32	-2.9	0.35	1.69	1.86	0.28
45	820.1	9.04	9.17	0.05	21.56	-4.73	-5.43	0.28	-0.32	-2.29	0.42	3.26	5.38	0.42	-1.31	-2.81	0.29	2.82	1.84	0.25
46	833.7	8.99	9.17	0.05	21.56	-5.45	-5.43	0.28	-3.77	-2.29	0.42	NA	5.38	0.42	-2.64	-2.81	0.29	1.18	1.84	0.25
47	847.4	9.28	9.17	0.05	21.66	-5.52	-5.44	0.26	-2.75	-2.22	0.39	5.2	5.17	0.43	-2.22	-2.8	0.26	1.43	1.92	0.25
49	874.7	9.18	9.18	0.05	21.4	-5.38	-5.51	0.25	-1.96	-2.38	0.38	6.11	5.27	0.41	-3.46	-2.78	0.24	1.91	1.78	0.22
52	915.7	9.13	9.2	0.06	21.21	-4.94	-5.32	0.26	-1.14	-2.29	0.4	5.14	4.99	0.39	-2.71	-2.6	0.25	1.72	1.79	0.24
52	915.7	9.13	9.2	0.06	21.21	-5.91	-5.32	0.26	-2.16	-2.29	0.4	5.61	4.99	0.39	-3.39	-2.6	0.25	1.72	1.79	0.24
54	943	9.11	9.25	0.05	20.33	-5.51	-5.39	0.23	-1.6	-2.45	0.29	3.44	5.24	0.32	-2.71	-2.46	0.23	2.58	1.74	0.22
55	956.6	9.22	9.25	0.05	20.38	-6.1	-5.38	0.24	-2.94	-2.42	0.31	6.19	5.24	0.35	-2.51	-2.49	0.24	1.51	1.78	0.23
55	956.6	9.43	9.25	0.05	20.38	-5.11	-5.38	0.24	-3.39	-2.42	0.31	4.87	5.24	0.35	-2.91	-2.49	0.24	1.52	1.78	0.23
58	997.6	9.44	9.29	0.05	19.71	-4.57	-5.34	0.22	-2.9	-2.65	0.3	5.14	5.21	0.29	-2.16	-2.49	0.21	1.52	1.73	0.2
60	1024.9	9.24	9.32	0.05	19.2	-5.72	-5.32	0.24	-2.66	-2.85	0.3	6.17	5.17	0.33	-2.11	-2.39	0.22	1.19	1.73	0.23
61	1038.6	9.29	9.32	0.05	19.2	-5.41	-5.32	0.24	-2.71	-2.85	0.3	5.44	5.17	0.33	-2.4	-2.39	0.22	1.47	1.73	0.23
61	1038.6	NA	NA	NA	NA	-5.03	-5.32	0.24	NA	NA	NA	NA	NA	NA	-1.49	-2.39	0.22	NA	NA	NA
61	1038.6	9.29	9.32	0.05	19.2	-5.46	-5.32	0.24	-2.75	-2.85	0.3	4.32	5.17	0.33	-1.52	-2.39	0.22	2.61	1.73	0.23
62	1062.1	9.3	9.35	0.05	18.67	-4.98	-5.21	0.25	-2.34	-2.95	0.31	5.41	5.13	0.35	-3.04	-2.31	0.25	1.68	1.67	0.24
63	1085.6	9.36	9.35	0.05	18.66	-5.23	-5.27	0.24	-3.04	-3.03	0.29	5.37	5.11	0.32	-2.42	-2.32	0.23	1.69	1.67	0.22
63	1085.6	9.5	9.35	0.05	18.66	-5.42	-5.27	0.24	-4.19	-3.03	0.29	5.4	5.11	0.32	-3.08	-2.32	0.23	1.57	1.67	0.22
66	1156.3	9.39	9.32	0.06	19.11	-5.06	-5.47	0.3	-3.04	-3.01	0.37	3.8	4.82	0.35	-2.53	-2.58	0.25	1.59	1.63	0.21
67	1179.8	9.36	9.31	0.06	19.27	-5.87	-5.52	0.29	-3.65	-2.99	0.38	4.97	4.55	0.38	-2.47	-2.49	0.24	1.69	1.73	0.23
68	1203.4	9.22	9.27	0.07	20.06	-5.81	-5.6	0.35	-2.63	-2.74	0.41	4.67	4.22	0.4	-2.75	-2.39	0.27	1.46	1.77	0.29
70	1250.5	9.14	9.25	0.05	20.25	-5.93	-5.47	0.31	-2.21	-2.53	0.39	4.11	4.25	0.41	-1.8	-2.25	0.24	1.76	1.7	0.24
71	1274	9.23	9.23	0.05	20.62	-5.31	-5.54	0.34	-2.18	-2.45	0.43	3.55	4.32	0.46	-2.39	-2.2	0.26	2.33	1.72	0.26
74	1344.6	9.18	9.19	0.05	21.38	-4.64	-5.51	0.31	-1.23	-2.11	0.36	3.09	4.53	0.44	-2.04	-2.1	0.22	1.49	1.82	0.24
74	1344.6	9.26	9.19	0.05	21.38	-5.65	-5.51	0.31	-2.79	-2.11	0.36	5.57	4.53	0.44	-1.74	-2.1	0.22	1.6	1.82	0.24
76	1391.7	9.16	9.19	0.06	21.36	-6.1	-5.47	0.39	-2.52	-2.07	0.47	4.93	4.81	0.54	-2.66	-2.1	0.27	1.94	1.72	0.28
77	1415.3	9.24	9.19	0.06	21.36	-5.71	-5.47	0.39	-2.67	-2.07	0.47	5.46	4.81	0.54	-2.12	-2.1	0.27	2.11	1.72	0.28
77	1415.3	9.08	9.19	0.06	21.36	-5.25	-5.47	0.39	-1.15	-2.07	0.47	5.01	4.81	0.54	-1.93	-2.1	0.27	1.47	1.72	0.28
